date,ibanDestinataire,libelle,ip,ibanEmetteur,montant
"2017-03-01","C","IBAN123456","bonus","172.10.4.1","IBAN234567",10000
"2017-03-01","D","IBAN123456","course meetup","172.18.3.1","IBAN234567",400
"2017-01-11","D","IBAN123456","arbre de noel","172.12.24.1","IBAN234567",500
"2017-01-25","D","IBAN123456","cheque cadeau","172.10.3.41","IBAN234567",3000
"2017-04-23","D","IBAN123456","confort agence","172.10.5.1","IBAN234567",5000,
"2017-03-01","D","IBAN123456","172.14.4.1","voyages Portugal","IBAN234567",5000
"2017-05-01","D","IBAN345678","172.19.54.1","remboursement frais","IBAN234567",1000
"2017-04-10","D","IBAN345678","autres","172.153.4.1","IBAN234567",10
"2017-03-01","D","IBAN345678","divers","177.10.4.1","IBAN987654",1000
"2017-03-20","D","IBAN345678","autres","177.10.4.1","IBAN987654",260
"2017-03-26","D","IBAN345678","parking","177.10.4.1","IBAN987654",450
"2017-03-24","D","IBAN345678","autres","177.10.4.1","IBAN987654",600
"2017-03-26","D","IBAN345678","177.10.4.1","achats bureautiques","IBAN234567",100
